Appliances,lights,T_in,RH_in,T_out,RH_out,Windspeed
40,0,20,46.29,4.93E+00,93.66666667,4.333333333
40,0,20,46.23,4.92E+00,94.33333333,4.166666667
50,0,19.92666667,46.23,4.90E+00,95,4
70,10,19.89,46.23,4.93E+00,94.66666667,4.166666667
40,0,19.89,46.43,4.97E+00,94.33333333,4.333333333
30,0,19.89,46.62666667,5.00E+00,94,4.5
20,10,19.89,46.7,5.03E+00,93.66666667,4.666666667
30,0,19.89,46.86333333,5.07E+00,93.33333333,4.833333333
40,10,19.82333333,46.86333333,5.10E+00,93,5
50,10,19.85666667,46.93,5.10E+00,92.66666667,5
60,20,19.79,46.79,5.10E+00,92.33333333,5
60,20,19.79,46.895,5.10E+00,92,5
70,20,19.79,47.42666667,5.10E+00,91.66666667,5
60,30,19.79,48.36666667,5.10E+00,91.33333333,5
140,20,19.79,48.66666667,5.10E+00,91,5
110,30,19.79,48.53333333,5.05E+00,91,5
90,10,19.89,50,5.00E+00,91,5
60,0,19.89,48.73333333,4.95E+00,91,5
60,0,19.89,48.02666667,4.90E+00,91,5
60,0,19.89,47.63333333,4.85E+00,91,5
50,0,19.85666667,47.06333333,4.80E+00,91,5
60,0,19.79,46.65666667,4.88E+00,91,5
50,0,19.79,46.33333333,4.97E+00,91,5
30,0,19.79,46.06666667,5.05E+00,91,5
40,0,19.76,45.86333333,5.13E+00,91,5
30,0,19.7,45.79,5.22E+00,91,5
260,0,19.7,45.66333333,5.30E+00,91,5
500,0,19.7,45.59,5.48E+00,90.16666667,5
450,0,19.73,47.79333333,5.67E+00,89.33333333,5
50,10,19.79,48.79333333,5.85E+00,88.5,5
60,0,19.89,47.94,6.03E+00,87.66666667,5
60,0,19.89,47.16,6.22E+00,86.83333333,5
50,0,19.89,46.76666667,6.40E+00,86,5
50,0,20,46.29666667,6.50E+00,85.16666667,5.333333333
50,0,20,45.96333333,6.60E+00,84.33333333,5.666666667
60,0,20,46.22333333,6.70E+00,83.5,6
60,0,20,45.96333333,6.80E+00,82.66666667,6.333333333
60,0,20,45.72333333,6.90E+00,81.83333333,6.666666667
60,0,20,45.66333333,7.00E+00,81,7
190,0,20.03333333,45.5,7.08E+00,80.66666667,7
220,0,20.1,45.69333333,7.17E+00,80.33333333,7
170,0,20.1,45.4,7.25E+00,80,7
390,0,20.1,45.32666667,7.33E+00,79.66666667,7
90,0,20.1,45.32666667,7.42E+00,79.33333333,7
60,0,20.16666667,46.99333333,7.50E+00,79,7
290,0,20.1,46.43,7.42E+00,79.33333333,7.166666667
130,0,20.1,46.03,7.33E+00,79.66666667,7.333333333
140,0,20.06666667,45.36333333,7.25E+00,80,7.5
240,0,20,44.96333333,7.17E+00,80.33333333,7.666666667
50,0,20,44.76,7.08E+00,80.66666667,7.833333333
60,0,20,44.595,7.00E+00,81,8
60,0,20,44.43333333,6.98E+00,80.16666667,7.5
60,0,20,44.26,6.97E+00,79.33333333,7
370,0,20,44.2,6.95E+00,78.5,6.5
200,0,20,44.06,6.93E+00,77.66666667,6
70,0,20,44.06,6.92E+00,76.83333333,5.5
50,0,20,44.09,6.90E+00,76,5
40,0,20,44.03,6.80E+00,77,4.833333333
40,0,19.96333333,43.9,6.70E+00,78,4.666666667
30,0,19.96333333,43.9,6.60E+00,79,4.5
30,0,20,43.86333333,6.50E+00,80,4.333333333
30,0,20.06666667,43.86333333,6.40E+00,81,4.166666667
30,0,20.1,43.79,6.30E+00,82,4
40,0,20.1,43.73,6.33E+00,80.83333333,4.5
50,0,20.1,43.56,6.37E+00,79.66666667,5
40,0,20.1,43.43333333,6.40E+00,78.5,5.5
40,0,20.1,43.16333333,6.43E+00,77.33333333,6
40,0,20.1,43.03,6.47E+00,76.16666667,6.5
60,0,20.06666667,42.83333333,6.50E+00,75,7
60,10,20,42.6725,6.32E+00,76.66666667,7
210,20,20,42.53,6.13E+00,78.33333333,7
380,20,20.03333333,43.49666667,5.95E+00,80,7
370,40,20.03333333,42.96333333,5.77E+00,81.66666667,7
230,30,20,43.16,5.58E+00,83.33333333,7
80,40,20,43.9,5.40E+00,85,7
90,30,20,43.7,5.30E+00,86,6.833333333
70,20,20,43.76,5.20E+00,87,6.666666667
40,10,20.03333333,44,5.10E+00,88,6.5
40,0,20.1,44.26,5.00E+00,89,6.333333333
30,0,20.1,44.2,4.90E+00,90,6.166666667
50,0,20.1,44.12666667,4.80E+00,91,6
50,0,20.1,44.06,4.75E+00,91.33333333,6.166666667
60,0,20.1,44,4.70E+00,91.66666667,6.333333333
50,0,20.1,43.9,4.65E+00,92,6.5
60,0,20.1,43.82666667,4.60E+00,92.33333333,6.666666667
60,0,20.03333333,43.73,4.55E+00,92.66666667,6.833333333
60,0,20.1,43.73,4.50E+00,93,7
50,0,20.06666667,43.49,4.53E+00,92.66666667,6.833333333
50,0,20,43.29,4.57E+00,92.33333333,6.666666667
50,0,20,43.145,4.60E+00,92,6.5
50,0,20,43.06,4.63E+00,91.66666667,6.333333333
50,0,19.92666667,43,4.67E+00,91.33333333,6.166666667
60,0,19.89,42.86333333,4.70E+00,91,6
60,0,19.89,42.79,4.80E+00,90.5,6.166666667
40,0,19.89,42.7,4.90E+00,90,6.333333333
30,0,19.82333333,42.62666667,5.00E+00,89.5,6.5
30,20,19.79,42.59,5.10E+00,89,6.666666667
30,10,19.79,42.72333333,5.20E+00,88.5,6.833333333
40,0,19.76,42.76,5.30E+00,88,7
50,10,19.7,42.7,5.33E+00,87.33333333,6.833333333
50,0,19.7,42.7,5.37E+00,86.66666667,6.666666667
50,0,19.63333333,42.62666667,5.40E+00,86,6.5
40,0,19.66666667,43,5.43E+00,85.33333333,6.333333333
50,0,19.6,43,5.47E+00,84.66666667,6.166666667
40,0,19.6,43,5.50E+00,84,6
40,0,19.53333333,43,5.58E+00,83.33333333,6.333333333
40,0,19.5,43.09,5.67E+00,82.66666667,6.666666667
40,0,19.5,43.09,5.75E+00,82,7
50,0,19.5,43.145,5.83E+00,81.33333333,7.333333333
50,0,19.5,43.2,5.92E+00,80.66666667,7.666666667
50,0,19.42666667,43.2,6.00E+00,80,8
30,0,19.39,43.2,5.88E+00,81.33333333,8
20,0,19.39,43.26,5.77E+00,82.66666667,8
30,0,19.39,43.29,5.65E+00,84,8
20,0,19.39,43.36333333,5.53E+00,85.33333333,8
40,0,19.39,43.4,5.42E+00,86.66666667,8
50,0,19.32333333,43.46666667,5.30E+00,88,8
60,0,19.29,43.5,5.30E+00,88.5,8
50,0,19.29,43.56,5.30E+00,89,8
40,0,19.29,43.59,5.30E+00,89.5,8
40,0,19.29,43.59,5.30E+00,90,8
50,0,19.29,43.7,5.30E+00,90.5,8
40,0,19.29,43.76,5.30E+00,91,8
40,0,19.2,43.7,5.33E+00,90.66666667,8
50,0,19.2,43.76,5.37E+00,90.33333333,8
50,0,19.2,43.79,5.40E+00,90,8
50,0,19.2,43.86333333,5.43E+00,89.66666667,8
40,0,19.2,43.9,5.47E+00,89.33333333,8
30,0,19.1,43.93333333,5.50E+00,89,8
20,0,19.1,44,5.48E+00,89,8
20,0,19.1,44,5.47E+00,89,8
20,0,19.1,44,5.45E+00,89,8
50,0,19.1,44.09,5.43E+00,89,8
50,0,19.1,44.09,5.42E+00,89,8
50,0,19.03333333,44.03,5.40E+00,89,8
40,0,19.03333333,44.09,5.37E+00,89.16666667,8
40,0,19,44.09,5.33E+00,89.33333333,8
50,0,19,44.09,5.30E+00,89.5,8
40,0,19,44.09,5.27E+00,89.66666667,8
50,0,19,44.16333333,5.23E+00,89.83333333,8
50,0,18.96333333,44.2,5.20E+00,90,8
50,0,18.89,44.2,5.17E+00,90,7.833333333
40,0,18.89,44.2,5.13E+00,90,7.666666667
40,0,18.89,44.2,5.10E+00,90,7.5
50,0,18.89,44.23,5.07E+00,90,7.333333333
20,0,18.89,44.29,5.03E+00,90,7.166666667
20,0,18.89,44.29,5.00E+00,90,7
50,0,18.865,44.365,5.02E+00,89.83333333,6.833333333
30,10,18.79,44.72333333,5.03E+00,89.66666667,6.666666667
50,10,18.89,45.03,5.05E+00,89.5,6.5
50,10,18.89,45.09,5.07E+00,89.33333333,6.333333333
200,0,18.89,45,5.08E+00,89.16666667,6.166666667
110,10,18.89,45,5.10E+00,89,6
80,10,18.79,44.63333333,5.08E+00,89.16666667,5.833333333
50,0,18.79,44.5,5.07E+00,89.33333333,5.666666667
50,0,18.79,44.59,5.05E+00,89.5,5.5
50,0,18.79,44.53,5.03E+00,89.66666667,5.333333333
40,0,18.79,44.36333333,5.02E+00,89.83333333,5.166666667
40,0,18.79,44.23,5.00E+00,90,5
30,0,18.79,44.06,5.00E+00,89.66666667,4.833333333
180,20,18.79,43.93333333,5.00E+00,89.33333333,4.666666667
350,30,18.79,43.9,5.00E+00,89,4.5
350,20,18.79,43.9,5.00E+00,88.66666667,4.333333333
300,30,18.79,44,5.00E+00,88.33333333,4.166666667
400,20,18.85666667,44.06,5.00E+00,88,4
390,30,18.89,44.23,5.00E+00,88,4.166666667
290,30,18.9975,44.3975,5.00E+00,88,4.333333333
60,30,19.1,44.5,5.00E+00,88,4.5
70,20,19.13333333,44.5,5.00E+00,88,4.666666667
110,30,19.2,44.36,5.00E+00,88,4.833333333
90,20,19.2,44.06,5.00E+00,88,5
60,20,19.2,44.06,5.08E+00,86.83333333,5
70,20,19.2,44.09,5.17E+00,85.66666667,5
80,20,19.2,44.16333333,5.25E+00,84.5,5
60,0,19.23,44.39,5.33E+00,83.33333333,5
40,10,19.29,44.79666667,5.42E+00,82.16666667,5
30,10,19.29,45.16333333,5.50E+00,81,5
70,10,19.23,45.03,5.58E+00,80.16666667,5.166666667
50,10,19.29,45.73333333,5.67E+00,79.33333333,5.333333333
80,10,19.29,45.12666667,5.75E+00,78.5,5.5
80,10,19.2,44.83333333,5.83E+00,77.66666667,5.666666667
50,0,19.2,44.7,5.92E+00,76.83333333,5.833333333
40,0,19.2,44.9,6.00E+00,76,6
50,0,19.2,44.69333333,5.92E+00,76.33333333,5.833333333
40,0,19.2,43.6,5.83E+00,76.66666667,5.666666667
40,0,19.2,43.12,5.75E+00,77,5.5
50,0,19.13333333,42.76666667,5.67E+00,77.33333333,5.333333333
30,0,19.16666667,42.46666667,5.58E+00,77.66666667,5.166666667
30,0,19.1,42.26666667,5.50E+00,78,5
20,0,19.1,42.09,5.73E+00,76.83333333,5
20,0,19.1,41.96333333,5.97E+00,75.66666667,5
50,0,19.06666667,41.76,6.20E+00,74.5,5
40,0,19,41.62666667,6.43E+00,73.33333333,5
50,0,19,41.56,6.67E+00,72.16666667,5
40,0,19,41.43333333,6.90E+00,71,5
60,0,19,41.29,6.80E+00,70.66666667,5.166666667
40,0,19,41.29,6.70E+00,70.33333333,5.333333333
40,0,19,41.2,6.60E+00,70,5.5
50,0,19,41.12666667,6.50E+00,69.66666667,5.666666667
40,0,19.03333333,41.12666667,6.40E+00,69.33333333,5.833333333
40,0,19.1,41.12666667,6.30E+00,69,6
30,0,19.13333333,41,6.32E+00,68,5.666666667
30,0,19.2,40.93333333,6.33E+00,67,5.333333333
30,0,19.2,40.76,6.35E+00,66,5
40,0,19.2675,40.745,6.37E+00,65,4.666666667
80,0,19.29,40.56666667,6.38E+00,64,4.333333333
70,0,19.39,40.53,6.40E+00,63,4
80,0,19.39,40.59,6.17E+00,64.33333333,3.833333333
70,0,19.39,40.62666667,5.93E+00,65.66666667,3.666666667
80,0,19.39,40.7,5.70E+00,67,3.5
80,0,19.32333333,40.73,5.47E+00,68.33333333,3.333333333
100,0,19.39,40.86333333,5.23E+00,69.66666667,3.166666667
90,0,19.35666667,40.79,5.00E+00,71,3
100,10,19.29,40.73,4.78E+00,72,3
90,0,19.29,40.66333333,4.57E+00,73,3
110,0,19.29,40.66333333,4.35E+00,74,3
90,10,19.29,40.79,4.13E+00,75,3
100,0,19.29,40.73,3.92E+00,76,3
100,10,19.29,40.79,3.70E+00,77,3
110,0,19.29,40.73,3.53E+00,79,3
100,10,19.26,40.7,3.37E+00,81,3
90,10,19.26,40.76,3.20E+00,83,3
90,10,19.29,40.9,3.03E+00,85,3
180,10,19.29,40.82666667,2.87E+00,87,3
140,0,19.29,41.15,2.70E+00,89,3
100,10,19.32333333,42.15666667,2.78E+00,88.83333333,3.333333333
110,20,19.39,42.09666667,2.87E+00,88.66666667,3.666666667
340,20,19.39,41.73,2.95E+00,88.5,4
380,20,19.39,41.65666667,3.03E+00,88.33333333,4.333333333
210,30,19.39,41.59,3.12E+00,88.16666667,4.666666667
150,20,19.46333333,41.59,3.20E+00,88,5
330,20,19.5,41.6,3.17E+00,88.16666667,5
420,20,19.5,41.32666667,3.13E+00,88.33333333,5
330,20,19.53333333,41.29,3.10E+00,88.5,5
130,20,19.6,41.43,3.07E+00,88.66666667,5
130,20,19.6,41.5,3.03E+00,88.83333333,5
110,20,19.6,41.56,3.00E+00,89,5
250,10,19.6,41.59,2.95E+00,88.83333333,5
520,0,19.6,41.53,2.90E+00,88.66666667,5
360,0,19.6,41.5,2.85E+00,88.5,5
330,0,19.6,41.69333333,2.80E+00,88.33333333,5
310,0,19.6,42,2.75E+00,88.16666667,5
270,0,19.6,42,2.70E+00,88,5
230,0,19.6,42.145,2.78E+00,87.66666667,5.166666667
170,10,19.6,42.2,2.87E+00,87.33333333,5.333333333
60,0,19.6,42.06666667,2.95E+00,87,5.5
30,0,19.5,42,3.03E+00,86.66666667,5.666666667
30,0,19.5,42.13333333,3.12E+00,86.33333333,5.833333333
30,0,19.5,42.2,3.20E+00,86,6
40,0,19.42666667,42.12666667,3.13E+00,86.5,5.833333333
50,0,19.39,42.09,3.07E+00,87,5.666666667
50,0,19.39,42.09,3.00E+00,87.5,5.5
40,0,19.35666667,42.09,2.93E+00,88,5.333333333
40,0,19.29,42.09,2.87E+00,88.5,5.166666667
50,0,19.29,42.09,2.80E+00,89,5
50,0,19.29,42.09,2.82E+00,89.16666667,5
40,0,19.2,42.06,2.83E+00,89.33333333,5
60,0,19.2,42.06,2.85E+00,89.5,5
40,0,19.2,42.09,2.87E+00,89.66666667,5
40,0,19.13333333,42.09,2.88E+00,89.83333333,5
50,0,19.1,42.09,2.90E+00,90,5
40,0,19.1,42.09,2.88E+00,90.5,5
30,0,19.1,42.09,2.87E+00,91,5
30,0,19,42,2.85E+00,91.5,5
30,0,19,42.06,2.83E+00,92,5
40,0,19,42.09,2.82E+00,92.5,5
40,0,19,42.09,2.80E+00,93,5
50,0,18.96333333,42.09,2.87E+00,92.33333333,5.166666667
40,0,18.89,42.16333333,2.93E+00,91.66666667,5.333333333
40,0,18.89,42.2,3.00E+00,91,5.5
40,0,18.89,42.2,3.07E+00,90.33333333,5.666666667
50,0,18.79,42.12666667,3.13E+00,89.66666667,5.833333333
50,0,18.79,42.2,3.20E+00,89,6
50,0,18.79,42.2,3.23E+00,89,5.833333333
40,0,18.79,42.2,3.27E+00,89,5.666666667
50,0,18.76,42.23,3.30E+00,89,5.5
40,0,18.7,42.29,3.33E+00,89,5.333333333
40,0,18.7,42.29,3.37E+00,89,5.166666667
20,0,18.7,42.29,3.40E+00,89,5
30,0,18.7,42.29,3.38E+00,89.16666667,5.166666667
30,0,18.7,42.29,3.37E+00,89.33333333,5.333333333
40,0,18.66666667,42.29,3.35E+00,89.5,5.5
50,0,18.6,42.29,3.33E+00,89.66666667,5.666666667
40,0,18.6,42.29,3.32E+00,89.83333333,5.833333333
40,0,18.6,42.32666667,3.30E+00,90,6
50,0,18.6,42.4,3.32E+00,90,5.833333333
40,0,18.6,42.4,3.33E+00,90,5.666666667
50,0,18.53333333,42.4,3.35E+00,90,5.5
50,0,18.5,42.43333333,3.37E+00,90,5.333333333
40,0,18.5,42.5,3.38E+00,90,5.166666667
50,0,18.5,42.5,3.40E+00,90,5
40,0,18.5,42.5,3.50E+00,89.83333333,5.666666667
40,0,18.46333333,42.56,3.60E+00,89.66666667,6.333333333
40,0,18.39,42.5,3.70E+00,89.5,7
40,0,18.39,42.53,3.80E+00,89.33333333,7.666666667
30,10,18.39,42.59,3.90E+00,89.16666667,8.333333333
70,10,18.39,42.59,4.00E+00,89,9
360,20,18.39,42.86333333,3.95E+00,89.5,8.833333333
400,10,18.39,43.36,3.90E+00,90,8.666666667
70,10,18.39,43.96666667,3.85E+00,90.5,8.5
70,0,18.39,44.09,3.80E+00,91,8.333333333
390,0,18.39,44.0225,3.75E+00,91.5,8.166666667
100,0,18.39,43.93333333,3.70E+00,92,8
80,10,18.39,43.76,3.30E+00,93,7.166666667
70,0,18.39,43.7,2.90E+00,94,6.333333333
170,10,18.39,43.59,2.50E+00,95,5.5
360,0,18.39,43.53,2.10E+00,96,4.666666667
180,10,18.39,43.36333333,1.70E+00,97,3.833333333
130,0,18.39,43.29,1.30E+00,98,3
70,20,18.42666667,43.32666667,1.40E+00,97.5,3.5
70,10,18.5,43.4,1.50E+00,97,4
180,20,18.53333333,43.4,1.60E+00,96.5,4.5
170,20,18.53333333,43.26666667,1.70E+00,96,5
390,30,18.6,43.29,1.80E+00,95.5,5.5
420,20,18.66666667,43.49,1.90E+00,95,6
340,20,18.7,43.63333333,1.97E+00,94.66666667,5.666666667
550,10,18.7,43.43333333,2.03E+00,94.33333333,5.333333333
690,10,18.79,43.76666667,2.10E+00,94,5
620,10,18.79,43.69333333,2.17E+00,93.66666667,4.666666667
610,10,18.82333333,43.26,2.23E+00,93.33333333,4.333333333
490,10,18.9175,43.05,2.30E+00,93,4
260,20,19,42.93333333,2.40E+00,92.83333333,4.166666667
240,10,19.1,42.86333333,2.50E+00,92.66666667,4.333333333
220,10,19.16666667,43.53,2.60E+00,92.5,4.5
130,10,19.36,44.56666667,2.70E+00,92.33333333,4.666666667
90,10,19.56666667,44.5,2.80E+00,92.16666667,4.833333333
290,10,19.73,45.12333333,2.90E+00,92,5
410,0,19.99666667,45.73,3.12E+00,91.33333333,5.166666667
320,0,20.1,45.05666667,3.33E+00,90.66666667,5.333333333
260,0,20.16666667,44.46333333,3.55E+00,90,5.5
210,0,20.36,45.19333333,3.77E+00,89.33333333,5.666666667
210,0,20.56666667,44.72666667,3.98E+00,88.66666667,5.833333333
140,0,20.82333333,44.33333333,4.20E+00,88,6
60,0,20.96333333,43.86666667,4.30E+00,87.5,6
50,0,21.1,43.52666667,4.40E+00,87,6
60,0,21.16666667,43.06666667,4.50E+00,86.5,6
50,0,21.2,42.1,4.60E+00,86,6
60,0,21.2,41.69333333,4.70E+00,85.5,6
140,0,21.23,41.59666667,4.80E+00,85,6
270,0,21.29,41.565,4.92E+00,84.83333333,6
200,0,21.35666667,41.29,5.03E+00,84.66666667,6
60,0,21.35666667,40.83333333,5.15E+00,84.5,6
50,0,21.35666667,40.62666667,5.27E+00,84.33333333,6
60,0,21.5,40.56,5.38E+00,84.16666667,6
80,0,21.5,40.43333333,5.50E+00,84,6
50,0,21.6,40.26,5.48E+00,83.16666667,6
40,0,21.6,40.12666667,5.47E+00,82.33333333,6
50,0,21.6,40.06,5.45E+00,81.5,6
50,0,21.6,40,5.43E+00,80.66666667,6
40,0,21.53333333,40,5.42E+00,79.83333333,6
30,0,21.53333333,39.93333333,5.40E+00,79,6
30,0,21.5,39.79,5.27E+00,78.5,6.166666667
200,0,21.5,39.73,5.13E+00,78,6.333333333
450,0,21.39,39.59,5.00E+00,77.5,6.5
400,0,21.39,39.79666667,4.87E+00,77,6.666666667
740,0,21.39,40.56666667,4.73E+00,76.5,6.833333333
910,0,21.46333333,41.69333333,4.60E+00,76,7
610,10,21.63333333,45.19666667,4.58E+00,76,6.833333333
510,10,21.76,47.13,4.57E+00,76,6.666666667
190,0,21.945,45.3,4.55E+00,76,6.5
110,10,22,43.99666667,4.53E+00,76,6.333333333
100,0,22.06666667,43.19666667,4.52E+00,76,6.166666667
90,10,22.1,42.36333333,4.50E+00,76,6
110,10,22.1,41.89,4.42E+00,76.16666667,6.166666667
100,0,22.13333333,41.43,4.33E+00,76.33333333,6.333333333
110,10,22.2,41.15666667,4.25E+00,76.5,6.5
100,10,22.1,40.83333333,4.17E+00,76.66666667,6.666666667
790,10,22.16666667,40.5,4.08E+00,76.83333333,6.833333333
380,10,22.2,40.69333333,4.00E+00,77,7
360,10,22.26,41.83333333,3.90E+00,78.5,7.166666667
360,10,22.32333333,42.56333333,3.80E+00,80,7.333333333
100,10,22.46333333,47.76333333,3.70E+00,81.5,7.5
100,10,22.73,46.86,3.60E+00,83,7.666666667
90,10,22.79,45.52666667,3.50E+00,84.5,7.833333333
90,20,22.79,44.83333333,3.40E+00,86,8
110,10,22.73,44.1,3.50E+00,83.33333333,8.333333333
140,30,22.7,43.29666667,3.60E+00,80.66666667,8.666666667
110,20,22.7,42.89,3.70E+00,78,9
100,20,22.7,43.06666667,3.80E+00,75.33333333,9.333333333
110,20,22.7,43.07,3.90E+00,72.66666667,9.666666667
130,20,22.7,42.63333333,4.00E+00,70,10
140,30,22.73,41.93,3.92E+00,70,9.666666667
130,20,22.79,41.79,3.83E+00,70,9.333333333
120,20,22.79,41.79,3.75E+00,70,9
100,10,22.79,41.73,3.67E+00,70,8.666666667
80,0,22.79,41.56,3.58E+00,70,8.333333333
50,10,22.79,41.5,3.50E+00,70,8
50,0,22.92666667,41.03333333,3.15E+00,73.66666667,7.833333333
50,0,23.06666667,40.42666667,2.80E+00,77.33333333,7.666666667
40,0,23.2,40.16333333,2.45E+00,81,7.5
50,0,23.26,40.09,2.10E+00,84.66666667,7.333333333
50,0,23.39,40.06,1.75E+00,88.33333333,7.166666667
50,0,23.39,40,1.40E+00,92,7
40,0,23.5,40,1.30E+00,92.33333333,7.333333333
30,0,23.56666667,39.93333333,1.20E+00,92.66666667,7.666666667
30,0,23.6,39.79,1.10E+00,93,8
40,0,23.6,39.73,1.00E+00,93.33333333,8.333333333
40,0,23.6,39.66333333,9.00E-01,93.66666667,8.666666667
50,0,23.66666667,39.66333333,8.00E-01,94,9
60,0,23.7,39.59,6.67E-01,95,9.166666667
50,0,23.7,39.56,5.33E-01,96,9.333333333
60,0,23.7,39.43333333,4.00E-01,97,9.5
50,0,23.79,39.26,2.67E-01,98,9.666666667
50,0,23.79,39.2,1.33E-01,99,9.833333333
50,0,23.79,39.16333333,0.00E+00,100,10
50,0,23.73,39.09,6.67E-02,99.83333333,10
50,0,23.7,39.09,1.33E-01,99.66666667,10
50,0,23.7,39.03,2.00E-01,99.5,10
60,0,23.7,39.09,2.67E-01,99.33333333,10
50,0,23.63333333,39.03,3.33E-01,99.16666667,10
50,0,23.6,39.03,4.00E-01,99,10
50,0,23.6,39.09,5.50E-01,97.83333333,10.16666667
50,0,23.5,39.09,7.00E-01,96.66666667,10.33333333
40,0,23.42666667,39.09,8.50E-01,95.5,10.5
50,0,23.39,39.23,1.00E+00,94.33333333,10.66666667
40,0,23.32333333,39.36333333,1.15E+00,93.16666667,10.83333333
30,0,23.29,39.5,1.30E+00,92,11
40,0,23.23,39.43333333,1.53E+00,90.5,10.83333333
30,0,23.2,39.5,1.77E+00,89,10.66666667
60,0,23.13333333,39.43333333,2.00E+00,87.5,10.5
50,0,23.1,39.45,2.23E+00,86,10.33333333
50,0,23,39.4,2.47E+00,84.5,10.16666667
40,0,22.92666667,39.4,2.70E+00,83,10
50,0,22.89,39.43333333,2.75E+00,81.83333333,10
60,0,22.82333333,39.5,2.80E+00,80.66666667,10
50,0,22.79,39.53,2.85E+00,79.5,10
50,0,22.73,39.59,2.90E+00,78.33333333,10
50,0,22.66666667,39.56,2.95E+00,77.16666667,10
